Regione,39,38_39,40,39_40,41,41_40,42,41_42,43,42_43,44,43_44,45,44_45,46,45_46,47,46_47,48,47_48,49,48_49,50,49_50,51,50_51,52,51_52,1,52_1,2,1_2
Abruzzo ,153,336,188,348,474,688,704,1310,1743,2834,3242,5612,3843,7154,4249,8202,3891,8544,3364,7497,2209,5622,1726,3939,1194,2919,964,2204,1514,2490,1767,3397
Basilicata ,104,125,151,281,70,237,16,159,413,662,843,1285,1228,2054,1476,2728,1356,2936,1305,2697,767,2097,445,1234,480,935,394,882,623,1024,805,1439
Calabria ,104,225,97,203,167,293,317,527,395,826,1281,2381,2105,3574,1511,4218,2924,5408,2145,5753,1471,3880,1043,2648,1100,2197,1290,2528,1584,3039,1859,3769
Campania ,1371,2280,2305,4257,3822,6688,7000,12685,10610,20584,21434,36652,20567,42441,22595,47680,17680,42431,13942,34800,7521,22726,5813,15685,5309,11845,4417,10402,5596,10832,7088,13486
Emilia Romagna,581,1323,851,1534,1665,2792,2854,5058,5262,9332,11852,20425,12065,24643,13349,29375,14616,30661,11887,28472,11425,24464,9527,21587,8702,18762,8254,18442,10830,20508,12715,25498
Friuli-Venezia Giulia,175,375,212,415,308,567,543,1018,1484,2147,2759,4756,3024,5774,3732,6733,4350,8110,3986,8347,2870,7244,2576,5454,2123,4699,1899,4042,2488,4387,3280,5769
Lazio ,1089,2464,1232,2725,2126,3776,4613,7668,8167,14979,13630,24936,13156,27880,16154,32755,16038,33619,12270,29668,10323,23448,8097,18379,8290,16723,7824,16737,9422,17783,10484,21983
Liguria ,541,1171,717,1319,1349,2194,2433,4249,5143,8431,6391,11974,6525,12964,6008,12905,4490,10589,3006,7539,2148,5166,1827,4015,1837,3679,1419,3353,2022,3632,2327,4579
Lombardia ,1450,2900,2136,3648,5910,8110,14750,21430,30034,46621,52824,88690,57667,110635,54579,114325,45972,101546,28709,74944,18565,47394,14771,34604,13837,29424,10680,25388,13508,24428,13469,27190
Marche ,123,328,228,375,425,692,805,1318,1610,2603,3536,5886,3139,6675,3108,7342,2573,6178,2538,5462,2346,5179,1997,4652,2161,4383,1940,4455,3052,5350,3228,6737
Molise ,28,76,36,64,107,142,220,347,339,582,602,943,591,1194,717,1303,775,1495,729,1505,575,1303,343,924,441,781,260,702,362,622,380,744
Piemonte ,737,1317,1122,1903,2528,3753,5855,8448,11553,17979,18158,30437,23321,41912,25686,51008,21401,48438,15045,37365,10535,26192,6865,17768,5372,11500,4215,10181,5395,9882,6989,13026
PA Bolzano/Bozen  ,177,351,149,329,429,579,800,1231,1446,2401,2491,4410,3751,6598,3891,7919,3461,7576,2327,5834,1655,3962,1372,3034,960,2369,709,1681,1231,1991,1707,3038
PA Trento ,177,405,234,459,235,495,486,747,883,1393,1481,2623,1663,3145,1567,3295,1293,2915,1474,2790,1548,3045,1406,2969,1154,2751,646,1885,697,1582,624,1855
Puglia ,524,1077,683,1234,1382,2097,2001,3397,3627,5673,5508,9373,6990,12620,8293,15715,8745,17791,8944,18586,8071,17853,6844,15611,7050,13899,5547,12661,7161,12760,8106,15343
Sardegna ,334,642,377,829,557,1026,442,1123,548,1351,1723,3155,917,2772,877,2522,1064,2575,1414,3086,1339,3396,1066,3131,1201,2674,1069,2782,1272,2722,1711,3483
Sicilia ,628,1289,912,1664,1378,2455,2416,4374,3362,6569,6115,11510,7061,13713,7405,17643,7559,18391,6383,16935,5027,13292,4083,10381,4837,9520,4649,10468,6634,12250,11217,19478
Toscana ,660,1302,945,1653,1484,2663,1461,3724,1414,4473,8992,16851,8516,18887,12082,25407,11156,26678,6616,18267,4590,11572,3393,8252,3081,6644,2444,5690,2939,5509,3161,6247
Umbria ,155,292,293,455,664,975,786,1570,2565,4036,3211,5937,3870,7463,3371,7511,2571,6326,1746,4418,1376,3248,1071,2452,943,2031,766,1728,1247,2140,1448,2760
Valle d'Aosta/Vallée,17,37,28,48,139,179,184,335,584,942,665,1515,784,1552,993,1803,651,1660,341,1073,247,576,138,384,156,294,127,283,148,289,157,311
Veneto ,1240,2271,1691,2986,2977,4785,4274,7348,9264,14100,16505,26176,20046,36934,20207,40983,20743,41622,19703,40797,22013,42271,25676,48697,24362,50493,21802,47538,22296,45512,17943,42020
Italia ,10368,20586,14587,26729,28196,45186,52960,88066,100446,168518,183243,315527,200829,390584,211850,441372,193309,425489,147874,355835,116621,273930,100079,225800,94590,198522,81315,184032,100021,188732,110465,222152
